post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,323,160,Bender,2026-04-10 13:33:44,0.49382716049382713,True
47710608,FCC considers retroactive ban on foreign hardware,worldnews,6,3,topspin,2026-04-10 13:33:53,0.42857142857142855,False
47709123,How Iran's Information War Machine Operates Online,worldnews,6,0,mikhael,2026-04-10 13:34:06,0.0,False
47712641,White House Warns Staff Not to Place Bets on Prediction Markets Amid Iran War,worldnews,10,3,bookofjoe,2026-04-10 13:34:10,0.2727272727272727,False
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,318,90,player_piano,2026-04-10 13:34:23,0.28213166144200624,True
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,57,18,zdw,2026-04-10 13:34:52,0.3103448275862069,False
47710595,The Iran war depleted US weapons. Rebuilding will require China's cooperation,worldnews,11,0,n1b0m,2026-04-10 13:35:31,0.0,False
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,32,12,brene,2026-04-10 13:35:35,0.36363636363636365,False
47683613,ICE acknowledges it is using powerful spyware,worldnews,68,8,dnemmers,2026-04-10 13:35:45,0.11594202898550725,False
47704060,Not just spyware scandals: EU is funding the industry that spies on Europeans,worldnews,8,0,latexr,2026-04-10 13:36:14,0.0,False
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,38,23,beardyw,2026-04-10 13:36:17,0.5897435897435898,False
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,12,0,hn_acker,2026-04-10 13:37:27,0.0,False
47709273,Wild chimpanzees recorded waging 'civil war' with coordinated attacks,worldnews,5,0,geox,2026-04-10 13:37:30,0.0,False
47697980,"Account Verification for Windows Hardware Program Begins October 16, 2025",worldnews,5,0,TiredOfLife,2026-04-10 13:38:09,0.0,False
47663743,"Show HN: Moon simulator game, ray-casting",sports,105,24,JKCalhoun,2026-04-10 13:30:53,0.22641509433962265,False
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,113,35,pruz,2026-04-10 13:32:04,0.30701754385964913,False
47672778,Breaking the console: a brief history of video game security,sports,96,26,sprado,2026-04-10 13:33:15,0.26804123711340205,False
47710319,BYD teams up with KFC to offer 9 minute EV charging,sports,9,0,breve,2026-04-10 13:33:17,0.0,False
47709535,Lethal conflict after group fission in wild chimpanzees,sports,8,1,impish9208,2026-04-10 13:33:32,0.1111111111111111,False
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,539,163,akyuu,2026-04-10 13:33:46,0.30185185185185187,True
47654629,The Harvard Library Passport,sports,40,15,fi-le,2026-04-10 13:33:47,0.36585365853658536,False
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,307,192,keepamovin,2026-04-10 13:34:01,0.6233766233766234,True
47685704,How the Vision Pro Rollout Inflamed Tensions at Apple,sports,16,4,f_allwein,2026-04-10 13:37:21,0.23529411764705882,False
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,19,6,nradov,2026-04-10 13:37:51,0.3,False
47667008,Show HN: I built a site that turns your Steam gaming hours into a RL skill tree,sports,8,10,naorz,2026-04-10 13:38:06,1.1111111111111112,False
47708818,Native Instant Space Switching on macOS,science,463,213,PaulHoule,2026-04-10 13:29:56,0.45905172413793105,True
47651764,How Close Is Too Close? Applying Fluid Dynamics Research Methods to PC Cooling,science,26,5,LabsLucas,2026-04-10 13:30:44,0.18518518518518517,False
47650502,Computational Physics (2nd Edition) (2025),science,184,23,teleforce,2026-04-10 13:34:17,0.12432432432432433,True
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,56,0,tosh,2026-04-10 13:34:55,0.0,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-10 13:35:09,0.5470085470085471,False
47691409,Reproducibility and robustness of economics and political science research,science,5,0,lamename,2026-04-10 13:37:57,0.0,False
47709360,CDC study shows Covid shot benefits; Trump official blocks release,science,17,2,ColinWright,2026-04-10 13:38:00,0.1111111111111111,False
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,145,134,randerson_112,2026-04-10 13:30:22,0.9178082191780822,False
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,22,2,larry-the-agent,2026-04-10 13:30:27,0.08695652173913043,False
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,45,23,behat,2026-04-10 13:30:30,0.5,False
47704259,"Show HN: Guruka.com – free guided mediations. No signup, private, works offline",entertainment,24,5,eummm,2026-04-10 13:31:06,0.2,False
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,119,56,DamnInteresting,2026-04-10 13:31:17,0.4666666666666667,False
47710713,"Show HN: Linear RNN/Reservoir hybrid generative model, one C file (no deps.)",entertainment,6,2,adinhitlore,2026-04-10 13:31:25,0.2857142857142857,False
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,141,61,willmeyers,2026-04-10 13:31:33,0.4295774647887324,False
47705802,Show HN: Mdpdf a 2k line C CLI to convert Markdown to tiny PDFs,entertainment,8,2,bastscho,2026-04-10 13:31:43,0.2222222222222222,False
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,138,155,latchkey,2026-04-10 13:31:45,1.1151079136690647,False
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,62,19,meribold,2026-04-10 13:31:48,0.30158730158730157,False
47696562,Show HN: Is Hormuz open yet?,entertainment,455,201,anonfunction,2026-04-10 13:31:54,0.4407894736842105,True
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,61,12,rvitorper,2026-04-10 13:32:06,0.1935483870967742,False
47657204,Show HN: We built a camera only robot vacuum for less than $300 (well almost),entertainment,106,55,indraneelpatil,2026-04-10 13:32:10,0.514018691588785,False
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,780,235,sam-bee,2026-04-10 13:32:16,0.30089628681177977,True
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,55,25,vkatluri,2026-04-10 13:32:22,0.44642857142857145,False
47704260,Show HN: Zoneless – Open-source Stripe Connect clone with $0.002 fees using USDC,entertainment,14,6,tinyprojects,2026-04-10 13:32:37,0.4,False
47705780,Show HN: BrokenClaw Part 5: GPT-5.4 Edition (Prompt Injection),entertainment,9,2,veganmosfet,2026-04-10 13:32:51,0.2,False
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,286,69,frasermarlow,2026-04-10 13:32:53,0.24041811846689895,True
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,230,28,MediaSquirrel,2026-04-10 13:33:11,0.12121212121212122,True
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,162,31,intofarlands,2026-04-10 13:33:21,0.1901840490797546,True
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,465,199,MattHart88,2026-04-10 13:33:23,0.4270386266094421,True
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,100,17,Sean-Der,2026-04-10 13:33:50,0.16831683168316833,False
47691174,Show HN: Explore the Silk Roads through an interactive map,entertainment,47,6,intofarlands,2026-04-10 13:34:05,0.125,False
47707158,DIY MacBook Neo upgrade can boost the SSD to 1TB using iPhone parts,entertainment,9,1,alwillis,2026-04-10 13:34:11,0.1,False
